slot_id,provider_id,clinic_id,specialty,slot_start_ts,slot_end_ts,modality,visit_type,slot_status,base_priority_score
SL00001,PR001,CL001,primary_care,2026-04-22T08:00:00,2026-04-22T08:20:00,in_person,new_issue,held,0.82
SL00002,PR001,CL001,primary_care,2026-04-22T08:30:00,2026-04-22T08:50:00,in_person,existing_concern,open,0.46
SL00003,PR001,CL001,primary_care,2026-04-22T09:00:00,2026-04-22T09:20:00,in_person,follow_up,open,0.91
SL00004,PR001,CL001,primary_care,2026-04-22T09:30:00,2026-04-22T09:50:00,telehealth,new_issue,open,0.76
SL00005,PR001,CL001,primary_care,2026-04-22T10:00:00,2026-04-22T10:20:00,in_person,new_issue,open,0.64
SL00006,PR001,CL001,primary_care,2026-04-22T10:30:00,2026-04-22T10:50:00,telehealth,existing_concern,open,0.94
SL00007,PR001,CL001,primary_care,2026-04-22T11:00:00,2026-04-22T11:20:00,telehealth,new_issue,held,0.47
SL00008,PR001,CL001,primary_care,2026-04-22T11:30:00,2026-04-22T11:50:00,telehealth,existing_concern,open,0.76
SL00009,PR001,CL001,primary_care,2026-04-22T13:00:00,2026-04-22T13:20:00,in_person,existing_concern,open,0.49
SL00010,PR001,CL001,primary_care,2026-04-22T13:30:00,2026-04-22T13:50:00,in_person,existing_concern,open,0.58
SL00011,PR001,CL001,primary_care,2026-04-22T14:00:00,2026-04-22T14:20:00,in_person,follow_up,open,0.54
SL00012,PR001,CL001,primary_care,2026-04-22T14:30:00,2026-04-22T14:50:00,in_person,new_issue,open,0.75
SL00013,PR001,CL001,primary_care,2026-04-22T15:00:00,2026-04-22T15:20:00,telehealth,new_issue,open,0.55
SL00014,PR001,CL001,primary_care,2026-04-22T15:30:00,2026-04-22T15:50:00,telehealth,existing_concern,open,0.49
SL00015,PR001,CL001,primary_care,2026-04-22T16:00:00,2026-04-22T16:20:00,in_person,existing_concern,open,0.69
SL00016,PR001,CL001,primary_care,2026-04-22T16:30:00,2026-04-22T16:50:00,in_person,new_issue,open,0.5
SL00017,PR001,CL001,primary_care,2026-04-23T08:00:00,2026-04-23T08:20:00,telehealth,new_issue,open,0.76
SL00018,PR001,CL001,primary_care,2026-04-23T08:30:00,2026-04-23T08:50:00,in_person,follow_up,open,0.48
SL00019,PR001,CL001,primary_care,2026-04-23T09:00:00,2026-04-23T09:20:00,in_person,existing_concern,open,0.55
SL00020,PR001,CL001,primary_care,2026-04-23T09:30:00,2026-04-23T09:50:00,in_person,existing_concern,held,0.55
SL00021,PR001,CL001,primary_care,2026-04-23T10:00:00,2026-04-23T10:20:00,in_person,follow_up,open,0.62
SL00022,PR001,CL001,primary_care,2026-04-23T10:30:00,2026-04-23T10:50:00,in_person,existing_concern,open,0.94
SL00023,PR001,CL001,primary_care,2026-04-23T11:00:00,2026-04-23T11:20:00,in_person,follow_up,open,0.54
SL00024,PR001,CL001,primary_care,2026-04-23T11:30:00,2026-04-23T11:50:00,telehealth,follow_up,open,0.53
SL00025,PR001,CL001,primary_care,2026-04-23T13:00:00,2026-04-23T13:20:00,in_person,existing_concern,open,0.81
SL00026,PR001,CL001,primary_care,2026-04-23T13:30:00,2026-04-23T13:50:00,in_person,new_issue,open,0.76
SL00027,PR001,CL001,primary_care,2026-04-23T14:00:00,2026-04-23T14:20:00,telehealth,existing_concern,open,0.53
SL00028,PR001,CL001,primary_care,2026-04-23T14:30:00,2026-04-23T14:50:00,in_person,existing_concern,open,0.64
SL00029,PR001,CL001,primary_care,2026-04-23T15:00:00,2026-04-23T15:20:00,in_person,existing_concern,open,0.89
SL00030,PR001,CL001,primary_care,2026-04-23T15:30:00,2026-04-23T15:50:00,in_person,follow_up,open,0.75
SL00031,PR001,CL001,primary_care,2026-04-23T16:00:00,2026-04-23T16:20:00,in_person,follow_up,open,0.41
SL00032,PR001,CL001,primary_care,2026-04-23T16:30:00,2026-04-23T16:50:00,in_person,existing_concern,open,0.91
SL00033,PR001,CL001,primary_care,2026-04-24T08:00:00,2026-04-24T08:20:00,telehealth,follow_up,open,0.61
SL00034,PR001,CL001,primary_care,2026-04-24T08:30:00,2026-04-24T08:50:00,in_person,new_issue,open,0.7
SL00035,PR001,CL001,primary_care,2026-04-24T09:00:00,2026-04-24T09:20:00,in_person,existing_concern,open,0.92
SL00036,PR001,CL001,primary_care,2026-04-24T09:30:00,2026-04-24T09:50:00,telehealth,follow_up,open,0.72
SL00037,PR001,CL001,primary_care,2026-04-24T10:00:00,2026-04-24T10:20:00,telehealth,new_issue,open,0.68
SL00038,PR001,CL001,primary_care,2026-04-24T10:30:00,2026-04-24T10:50:00,telehealth,follow_up,open,0.63
SL00039,PR001,CL001,primary_care,2026-04-24T11:00:00,2026-04-24T11:20:00,in_person,new_issue,blocked,0.5
SL00040,PR001,CL001,primary_care,2026-04-24T11:30:00,2026-04-24T11:50:00,telehealth,new_issue,open,0.74
SL00041,PR001,CL001,primary_care,2026-04-24T13:00:00,2026-04-24T13:20:00,telehealth,new_issue,open,0.61
SL00042,PR001,CL001,primary_care,2026-04-24T13:30:00,2026-04-24T13:50:00,in_person,new_issue,open,0.9
SL00043,PR001,CL001,primary_care,2026-04-24T14:00:00,2026-04-24T14:20:00,telehealth,existing_concern,open,0.72
SL00044,PR001,CL001,primary_care,2026-04-24T14:30:00,2026-04-24T14:50:00,in_person,new_issue,open,0.62
SL00045,PR001,CL001,primary_care,2026-04-24T15:00:00,2026-04-24T15:20:00,telehealth,new_issue,blocked,0.93
SL00046,PR001,CL001,primary_care,2026-04-24T15:30:00,2026-04-24T15:50:00,in_person,new_issue,open,0.91
SL00047,PR001,CL001,primary_care,2026-04-24T16:00:00,2026-04-24T16:20:00,in_person,existing_concern,open,0.75
SL00048,PR001,CL001,primary_care,2026-04-24T16:30:00,2026-04-24T16:50:00,telehealth,new_issue,open,0.48
SL00049,PR001,CL001,primary_care,2026-04-27T08:00:00,2026-04-27T08:20:00,in_person,follow_up,blocked,0.82
SL00050,PR001,CL001,primary_care,2026-04-27T08:30:00,2026-04-27T08:50:00,telehealth,new_issue,open,0.66
SL00051,PR001,CL001,primary_care,2026-04-27T09:00:00,2026-04-27T09:20:00,in_person,follow_up,open,0.78
SL00052,PR001,CL001,primary_care,2026-04-27T09:30:00,2026-04-27T09:50:00,in_person,existing_concern,open,0.4
SL00053,PR001,CL001,primary_care,2026-04-27T10:00:00,2026-04-27T10:20:00,telehealth,follow_up,open,0.76
SL00054,PR001,CL001,primary_care,2026-04-27T10:30:00,2026-04-27T10:50:00,in_person,follow_up,open,0.74
SL00055,PR001,CL001,primary_care,2026-04-27T11:00:00,2026-04-27T11:20:00,in_person,existing_concern,held,0.48
SL00056,PR001,CL001,primary_care,2026-04-27T11:30:00,2026-04-27T11:50:00,in_person,follow_up,open,0.86
SL00057,PR001,CL001,primary_care,2026-04-27T13:00:00,2026-04-27T13:20:00,in_person,new_issue,open,0.59
SL00058,PR001,CL001,primary_care,2026-04-27T13:30:00,2026-04-27T13:50:00,telehealth,new_issue,open,0.52
SL00059,PR001,CL001,primary_care,2026-04-27T14:00:00,2026-04-27T14:20:00,in_person,existing_concern,open,0.73
SL00060,PR001,CL001,primary_care,2026-04-27T14:30:00,2026-04-27T14:50:00,telehealth,new_issue,open,0.5
SL00061,PR001,CL001,primary_care,2026-04-27T15:00:00,2026-04-27T15:20:00,in_person,follow_up,open,0.51
SL00062,PR001,CL001,primary_care,2026-04-27T15:30:00,2026-04-27T15:50:00,in_person,existing_concern,open,0.89
SL00063,PR001,CL001,primary_care,2026-04-27T16:00:00,2026-04-27T16:20:00,telehealth,new_issue,open,0.89
SL00064,PR001,CL001,primary_care,2026-04-27T16:30:00,2026-04-27T16:50:00,telehealth,follow_up,open,0.78
SL00065,PR001,CL001,primary_care,2026-04-28T08:00:00,2026-04-28T08:20:00,telehealth,follow_up,open,0.46
SL00066,PR001,CL001,primary_care,2026-04-28T08:30:00,2026-04-28T08:50:00,in_person,follow_up,open,0.85
SL00067,PR001,CL001,primary_care,2026-04-28T09:00:00,2026-04-28T09:20:00,in_person,follow_up,open,0.67
